Cruise,Station,StationID,Latitude,Longitude,FishNum,Time,Station_Depth,Region,FL_mm,Species,preytype,count
201302,13,201302-13,37.74041333,-74.71867167,22,1334,48,MAB,219,C. harengus,Centropages_spp,270
201302,124,201302-124,39.5307,-72.89284333,40,1709,60,SNE,226,C. harengus,Centropages_spp,20
201302,206,201302-206,41.13131333,-69.28958167,46,130,52,GoM,224,C. harengus,Centropages_spp,2
201302,206,201302-206,41.13131333,-69.28958167,47,130,52,GoM,211,C. harengus,Centropages_spp,2
201302,70,201302-70,37.25421167,-75.07228833,53,1946,36,MAB,213,C. harengus,Centropages_spp,265
201302,70,201302-70,37.25421167,-75.07228833,54,1946,36,MAB,220,C. harengus,Centropages_spp,820
201302,122,201302-122,39.64571167,-73.17230667,72,1305,43,SNE,199,C. harengus,Centropages_spp,264
201302,122,201302-122,39.64571167,-73.17230667,74,1305,43,SNE,177,C. harengus,Centropages_spp,177
201302,121,201302-121,39.67124333,-73.29145833,86,1112,42,SNE,180,C. harengus,Centropages_spp,88
201302,121,201302-121,39.67124333,-73.29145833,87,1112,42,SNE,170,C. harengus,Centropages_spp,235
201302,7,201302-7,38.04904833,-73.99538667,14,26,113,MAB,85,P. triacanthus,Centropages_spp,47
201302,3,201302-3,38.41109833,-73.431095,131,1325,118,MAB,98,P. triacanthus,Centropages_spp,27
201302,24,201302-24,36.63787167,-74.93928833,18,1229,30,MAB,277,S. scombrus,Centropages_spp,131
201302,24,201302-24,36.63787167,-74.93928833,20,1229,30,MAB,288,S. scombrus,Centropages_spp,138
201302,218,201302-218,41.90631,-69.80113,33,1014,101,GoM,195,S. scombrus,Centropages_spp,39
201302,218,201302-218,41.90631,-69.80113,36,1014,101,GoM,215,S. scombrus,Centropages_spp,40
201302,69,201302-69,37.05521,-75.379185,42,1655,29,MAB,245,S. scombrus,Centropages_spp,14860
201302,69,201302-69,37.05521,-75.379185,45,1655,29,MAB,266,S. scombrus,Centropages_spp,28630
201302,75,201302-75,37.66702333,-75.16793333,61,545,25,MAB,256,S. scombrus,Centropages_spp,10
201302,75,201302-75,37.66702333,-75.16793333,62,545,25,MAB,255,S. scombrus,Centropages_spp,10
201302,122,201302-122,39.64571167,-73.17230667,93,1305,43,SNE,220,S. scombrus,Centropages_spp,8
201402,282,201402-282,44.08882833,-71.13333333,330,1318,101,GoM,142,A. aestivalis,Centropages_spp,1
201402,95,201402-95,39.45199333,-69.61666667,335,500,67,SNE,220,A. aestivalis,Centropages_spp,270
201402,95,201402-95,39.45199333,-72.97724167,336,500,67,SNE,212,A. aestivalis,Centropages_spp,250
201402,116,201402-116,39.689,-73.642,347,1801,35,MAB,205,A. aestivalis,Centropages_spp,920
201402,116,201402-116,39.689,-73.642,348,1801,35,MAB,205,A. aestivalis,Centropages_spp,2480
201402,127,201402-127,40.120195,-73.54423167,354,1707,42,SNE,220,A. aestivalis,Centropages_spp,3800
201402,127,201402-127,40.120195,-73.54423167,355,1707,42,SNE,224,A. aestivalis,Centropages_spp,2540
201402,70,201402-70,40.50130833,-70.82712333,369,1410,78,SNE,200,A. aestivalis,Centropages_spp,340
201402,57,201402-57,38.587985,-74.28988167,384,2005,45,MAB,194,A. aestivalis,Centropages_spp,2080
201402,57,201402-57,38.587985,-74.28988167,385,2005,45,MAB,187,A. aestivalis,Centropages_spp,1960
201402,56,201402-56,38.334775,-74.07386667,387,1740,63,MAB,215,A. aestivalis,Centropages_spp,780
201402,56,201402-56,38.334775,-74.07386667,389,1740,63,MAB,222,A. aestivalis,Centropages_spp,1220
201402,84,201402-84,40.18524333,-72.20134167,393,257,71,SNE,195,A. aestivalis,Centropages_spp,15
201402,118,201402-118,39.86297833,-73.70465667,406,2252,32,MAB,215,A. aestivalis,Centropages_spp,6100
201402,118,201402-118,39.86297833,-73.70465667,407,2252,32,MAB,195,A. aestivalis,Centropages_spp,3400
201402,69,201402-69,40.65411667,-70.75713333,429,1156,64,SNE,185,A. aestivalis,Centropages_spp,5
201402,189,201402-189,42.15814667,-69.96183333,325,2004,140,GoM,164,A. pseudoharengus,Centropages_spp,1
201402,68,201402-68,40.85757833,-70.94011167,337,904,55,SNE,206,A. pseudoharengus,Centropages_spp,20
201402,118,201402-118,39.86297833,-73.70465667,340,2252,32,MAB,235,A. pseudoharengus,Centropages_spp,1940
201402,118,201402-118,39.86297833,-73.70465667,341,2252,32,MAB,232,A. pseudoharengus,Centropages_spp,1300
