Cruise,Station,FishSpecies,FishNumber,PreySpecies,PreyNumber,OcularUnits,Mag,Length_mm,Scope,PreyCount,Comments
201802,150,A. aestivalis,2,Caligidae,1,,,0.8,MZ12,NA,
201802,150,A. aestivalis,2,Caligidae,2,,,2.2,MZ12,NA,
201802,150,A. aestivalis,2,Caligidae,3,,,3.8,MZ12,NA,
201802,150,A. aestivalis,2,Caligidae,4,,,1.3,MZ12,NA,
201802,150,A. aestivalis,2,Caligidae,5,,,0.9,MZ12,NA,
201802,150,A. aestivalis,2,Caligidae,6,,,1.2,MZ12,NA,
201802,150,A. aestivalis,2,Caligidae,7,,,1.6,MZ12,NA,
201802,150,A. aestivalis,2,Caligidae,8,,,1.2,MZ12,NA,
201802,150,A. aestivalis,2,Caligidae,9,,,3.6,MZ12,NA,
201802,150,A. aestivalis,2,Caligidae,10,,,4.1,MZ12,NA,
201802,150,A. aestivalis,2,FishRemains,1,,,25.3,MZ12,NA,
201802,150,A. aestivalis,2,Appendicularian,1,,,1.4,MZ12,NA,
201802,150,A. aestivalis,2,Appendicularian,2,,,1.1,MZ12,NA,
201802,150,A. aestivalis,2,Appendicularian,3,,,0.8,MZ12,NA,
201802,150,A. aestivalis,2,Appendicularian,4,,,1.2,MZ12,NA,
201802,150,A. aestivalis,2,Appendicularian,5,,,0.9,MZ12,NA,
201802,150,A. aestivalis,2,Appendicularian,6,,,1,MZ12,NA,
201802,150,A. aestivalis,2,Appendicularian,7,,,1.1,MZ12,NA,
201802,150,A. aestivalis,2,Appendicularian,8,,,1.3,MZ12,NA,
201802,150,A. aestivalis,2,Appendicularian,9,,,1.6,MZ12,NA,
201802,150,A. aestivalis,2,Appendicularian,10,,,0.8,MZ12,NA,
201802,150,A. aestivalis,2,Cyprid,1,,,0.9,MZ12,NA,
201802,150,A. aestivalis,2,Cyprid,2,,,1,MZ12,NA,
201802,150,A. aestivalis,2,Cyprid,3,,,1.1,MZ12,NA,
201802,150,A. aestivalis,2,Cyprid,4,,,1,MZ12,NA,
201802,150,A. aestivalis,2,Pleuromamma,1,,,3.1,MZ12,NA,
201802,150,A. aestivalis,2,CalanoidaSmall,1,,,0.8,MZ12,NA,
201802,150,A. aestivalis,2,Pseudodiaptomas,1,,,1.1,MZ12,NA,
