"Cruise","Station","StationID","Latitude","Longitude","FishNum","Time","Station_Depth","Region","FL_mm","Species","Centropages_spp","Calanus_spp","PPC","Temora_longicornis","Calanoida","Candacia_spp","Caligus_spp","Hyperiidea","Phronimidae","Hyperia_spp","Parathemisto_spp","Pronoidae","Lycaenidae","Mysidae","Mysis mixta","Mysis bigelowi","Neomysis spp.","Oikopleura spp.","Limacina helicina","Clione limacina","Euphausiacea","Euphausia spp.","Meganyctiphanes norvegica","Thysanopoda spp.","Thysanoessa spp.","Nematoscelis spp.","Gammarus spp.","Ampithoidae","Gammaria spp.","Haustoriidae","Corophiidae","Liljeborgiidae","Meltidae","Aoridae","Chaetognatha","Ostracoda","Crustacean_Larvae","Cladocera","Ammodytes spp.","Larval_Fish","Fish_Remains","Polychaeta","Cumacea","Isopoda","Other","Unknown","EST_YEAR","EST_MONTH","EST_DAY","EST_TIME","GMT_YEAR","GMT_MONTH","GMT_DAY","GMT_TIME","SURFTEMP","BOTTEMP","GMT_datetime","EST_datetime","day_night","seasons"
201302,60,"201302-60",36.20050667,-75.339775,4,"20:10",30,"MAB",220,"C. harengus",0,60,0,0,0,0,0,0,0,20,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,3,20,20:10:35,2013,3,21,01:10:35,8.19,7.71,2013-03-21 01:10:35,2013-03-20 20:10:35,"Night","Spring"
201302,13,"201302-13",37.74041333,-74.71867167,22,"13:34",48,"MAB",219,"C. harengus",270,0,0,7,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,3,16,13:34:47,2013,3,16,18:34:47,7.88,7.35,2013-03-16 18:34:47,2013-03-16 13:34:47,"Day","Spring"
201302,13,"201302-13",37.74041333,-74.71867167,23,"13:34",48,"MAB",230,"C. harengus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,3,16,13:34:47,2013,3,16,18:34:47,7.88,7.35,2013-03-16 18:34:47,2013-03-16 13:34:47,"Day","Spring"
201302,124,"201302-124",39.5307,-72.89284333,37,"17:09",60,"SNE",235,"C. harengus",0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,3,27,17:09:45,2013,3,27,22:09:45,6.19,5.98,2013-03-27 22:09:45,2013-03-27 17:09:45,"Day","Spring"
201302,124,"201302-124",39.5307,-72.89284333,40,"17:09",60,"SNE",226,"C. harengus",20,0,80,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,2013,3,27,17:09:45,2013,3,27,22:09:45,6.19,5.98,2013-03-27 22:09:45,2013-03-27 17:09:45,"Day","Spring"
201302,206,"201302-206",41.13131333,-69.28958167,46,"01:30",52,"GoM",224,"C. harengus",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,2013,4,10,01:30:11,2013,4,10,06:30:11,5.69,5.7,2013-04-10 06:30:11,2013-04-10 01:30:11,"Night","Spring"
201302,206,"201302-206",41.13131333,-69.28958167,47,"01:30",52,"GoM",211,"C. harengus",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2013,4,10,01:30:11,2013,4,10,06:30:11,5.69,5.7,2013-04-10 06:30:11,2013-04-10 01:30:11,"Night","Spring"
201302,70,"201302-70",37.25421167,-75.07228833,53,"19:46",36,"MAB",213,"C. harengus",265,0,5,140,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,3,21,19:46:23,2013,3,22,00:46:23,7.1,7.14,2013-03-22 00:46:23,2013-03-21 19:46:23,"Night","Spring"
201302,70,"201302-70",37.25421167,-75.07228833,54,"19:46",36,"MAB",220,"C. harengus",820,50,0,230,750,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,3,21,19:46:23,2013,3,22,00:46:23,7.1,7.14,2013-03-22 00:46:23,2013-03-21 19:46:23,"Night","Spring"
201302,211,"201302-211",41.45427833,-69.28315,69,"16:00",94,"GoM",142,"C. harengus",0,112,64,8,0,0,0,0,0,0,0,0,0,0,0,0,0,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,2013,4,10,16:00:33,2013,4,10,21:00:33,6.21,5.63,2013-04-10 21:00:33,2013-04-10 16:00:33,"Day","Spring"
201302,211,"201302-211",41.45427833,-69.28315,70,"16:00",94,"GoM",177,"C. harengus",0,280,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,1,2013,4,10,16:00:33,2013,4,10,21:00:33,6.21,5.63,2013-04-10 21:00:33,2013-04-10 16:00:33,"Day","Spring"
201302,122,"201302-122",39.64571167,-73.17230667,72,"13:05",43,"SNE",199,"C. harengus",264,372,320,0,0,0,0,0,0,6,30,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,2013,3,27,13:05:52,2013,3,27,18:05:52,6.1,5.92,2013-03-27 18:05:52,2013-03-27 13:05:52,"Day","Spring"
201302,122,"201302-122",39.64571167,-73.17230667,74,"13:05",43,"SNE",177,"C. harengus",177,277,303,3,20,0,0,0,0,6,19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,3,0,2013,3,27,13:05:52,2013,3,27,18:05:52,6.1,5.92,2013-03-27 18:05:52,2013-03-27 13:05:52,"Day","Spring"
